destination_address,tokens_airdropped,current_balance,current_usd_value,percent_sold,status
CGXrfpUkN5Jfo1zxo3G2zj2tJLeJrA9siS6cDQENaGf5,1200000,1200000,21070,0,Holding
zux62kQ6ygiAowHxcxyLbLE892E6rS8Tnvhsju65vYt,1200000,1200000,21070,0,Holding
9ggkEFf3PK56dvP2yjm1N7X8Bxzty1BYfk3Rp68TyvQP,700000,700000,12291,0,Holding
8Sid38QZK7K1BHmPbPdcTbiSt2f6XYhFSKF6EPUguaky,670000,600000,10535,0.104,Partially Sold/Transferred
CALZBwUeN9yRFXLSZwqoWAR45BBKyZhZBsPM7YeSSsP2,620000,620000,10886,0,Holding
5CYEcx88NhdRaFw3pc5YNBXoiKa3EseD8BM7Bvs8NkaU,600000,332093,5831,0.447,Partially Sold/Transferred
2UWD64c9gtGc2RyrALfUebcVrcDm3A3RqLhaGJXKZHBr,555555,567432,9963,0,Accumulating
52houUTLXsy3a26PtkwShmUUoDBjyVmQCZkZ7syjjMS,550000,18412,323,0.967,Partially Sold/Transferred
9CNyLECt2j8tnDhqxtjYk5HUhZ2b8Nwnyb7sfYN7vND2,400000,0,0,1,Fully Sold/Transferred
3iNpHZrcE45FPR8pKhz7g4KXEZNHoiic7eG9bRwrBJ8b,350000,350000,6146,0,Holding
4rJVuXBgH94giakRzL78AJMP9i4kYojUXKNcWp5RTsTd,300000,300000,5268,0,Holding
GjEFh87khycTvL2b1Vt9wSju4bFodpfLLeWU1MQwwy1B,300000,298696,5245,0.004,Partially Sold/Transferred
8gGvvEsv5Ct7pCX5N231USpbBHmH3kZ6r6VZYTJQRcwB,300000,0,0,1,Fully Sold/Transferred
AjmmrnMkd4FHe7HZULcof2WZaR7x2ivdvNJwGcLJz2YS,300000,228906,4019,0.237,Partially Sold/Transferred
4uNfdSDH8syyp5BLp9gnrZEnsZjA7q68B95SnbmokT8F,300000,300000,5268,0,Holding
3Biv41TvD1P2agAsLfUWW7Kd8WGKmu5CkKMq4frcf96f,270000,0,0,1,Fully Sold/Transferred
f4CMmXJCRu4fzyqZPkDiFhGKAeCo1s7sxUtPKQp9SDy,250000,68000,1194,0.728,Partially Sold/Transferred
CwzXrbvJ7KNR2UHWx5mHS8h51byX4Yo142xoCCPUV56T,250000,0,0,1,Fully Sold/Transferred
DZxhGs7uycXudBrLf8o1bQ9FVxXkrF6kGK2B5gmuY2CD,250000,250000,4390,0,Holding
DgKeRrDYYSvhfG8FjgSPGpwGgw4YkaDzyByJGDPNhbQm,250000,250000,4390,0,Holding
F9AngKEoAdmL2XxREwcD9BC9H7FhPyafQVuJPrTvg6Z,230000,282719,4964,0,Accumulating
F3Ffty2Lv3QisQE6QrziecKPB8KmBBveLC4VnfYNHPep,220000,220000,3863,0,Holding
2LZ3idLfsxKyaE9MhgFPS9pkqUrEreg744wNLK1eUSxf,220000,220000,3863,0,Holding
GfRPp2sNRJioNvCJm7zQLCa3TjGkVgSkeAubWkxizdiB,200000,200000,3512,0,Holding
H6CeM19X1mc4t6CduUXXKGCyt6NeE3NvEKz6Tm4dLTmc,200000,109200,1917,0.454,Partially Sold/Transferred
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,200000,200000,3512,0,Accumulating
AzQSc6nb9sB3SFsMtkcMpLtN2sqRWqFwJxH1makv68i4,200000,0,0,1,Fully Sold/Transferred
FNAREy7yVYc9sUzmS4xdCFpoa34p8ZEgrdCtqw3gkQn9,200000,170008,2985,0.15,Partially Sold/Transferred
H26JfMMi7eRRjoSA69Jx3QKbvx8mpqbLg5WBB4wLCa9V,200000,0,0,1,Fully Sold/Transferred
Dp2kvpj47C8jdfL99uFhspfp7BGH3CFKgNZDdYeHiDh,200000,0,0,1,Fully Sold/Transferred
Ch9eVziW4PhVm5ginYCbKR1pZzVaCwe4ZczUnRsJvJDg,185000,0,0,1,Fully Sold/Transferred
4Sxux1VrSnTViwoTVCan6zk3P4XZY83Asht8jiaXqqHw,175000,175000,3073,0,Holding
3w7rx9LsYS5J5YNNKcpeYMR3rKNnWHhE92xu8vfQfrdv,170000,43871,770,0.742,Partially Sold/Transferred
HmUt3Jn46j7c7ANdURmEyjSRj8i3Em6MhjQUi37PZ219,170000,138992,2441,0.182,Partially Sold/Transferred
Eh38pfuTRERvv6AcTZFeQsZZZLEtFBwvVhrD342phCTy,170000,1021995,17945,0,Accumulating
Hrg6CgABraxLaoxcyZafddHdJymTQkQbyVaqBipq3rzU,170000,0,0,1,Fully Sold/Transferred
7ANtxJEnojrw1bebwH9dYEDM9yad9L3wab2PkD4qkLP9,165000,0,0,1,Fully Sold/Transferred
8Xn3iQXNEnmgdzuTv16RYGYQntXwhUdzSKht5rgm9TMJ,160000,15000,263,0.906,Partially Sold/Transferred
7WGjeHZpnbCyiZn28W9uNxbi6xq7K8QXecNZk7a6FzQa,160000,160076,2811,0,Accumulating
741TyxhtrGgdtHJDmygqtjXyxmSLYGEucu42Bguj1tbg,150000,0,0,1,Fully Sold/Transferred
GtbgC6AJQ2xhBoKsFCUxMcx4FHspvt475ToNfTziT6ii,148000,0,0,1,Fully Sold/Transferred
CuDe51GPh5qGsmYBJDxSsufhQQhA618uDbkaXFZ4pztL,140000,89049,1564,0.364,Partially Sold/Transferred
HFisjLKfhA5UbSocq62iZLdZWnwPXMvo4Vo9S7ZzGEL2,125000,0,0,1,Fully Sold/Transferred
2fuwm8KXGsf71fTRPqe4QgZ6SJ4eDqZzNfwfx5j4ftM1,125000,3523,62,0.972,Partially Sold/Transferred
9TGd518ifTja3SfKffjbbsREb3Cv3tnWzZXevH3DCNnZ,120000,3232,57,0.973,Partially Sold/Transferred
